ASN	NumberofUsers	Country	%ofCountry
4134	283419161	CN	38.25
55836	233385524	IN	49.1
4837	127257516	CN	17.18
45609	110137582	IN	23.17
9808	69500183	CN	9.38
7922	53566147	US	18.42
29465	41625476	NG	45.17
197207	38888279	IR	96.18
4812	38573147	CN	5.21
38266	33273595	IN	7.0
4808	33001914	CN	4.45
56040	30066499	CN	4.06
36873	25075714	NG	27.21
8151	24981787	MX	41.96
2516	24057328	JP	20.8
7018	23981708	US	8.25
45271	23618026	IN	4.97
56046	23358067	CN	3.15
3320	23270924	DE	32.08
22394	21667435	US	7.45
17676	21370726	JP	18.48
28573	20083356	BR	14.26
45899	18053996	VN	35.7
7552	17339791	VN	34.29
21928	17160040	US	5.9
4766	16902584	KR	38.44
3215	16744104	FR	29.62
9299	16286163	PH	34.74
4713	16182502	JP	13.99
20057	16150126	US	5.55
12389	16149184	RU	15.73
7713	16110350	ID	29.36
37148	15389336	NG	16.7
36903	14268880	MA	67.77
701	14165441	US	4.87
20115	12860114	US	4.42
9829	12479542	IN	2.63
24444	11948240	CN	1.61
5089	11610831	GB	18.75
5607	11545287	GB	18.64
23693	11382473	ID	20.74
33771	11344028	KE	48.52
3352	11211441	ES	29.38
3209	11199976	DE	15.44
2856	11107202	GB	17.93
24445	10836098	CN	1.46
8359	10602231	RU	10.33
24400	10490895	CN	1.42
132199	10435424	PH	22.26
8048	10325750	VE	54.53
8452	10313462	EG	31.0
9605	10214968	JP	8.83
22773	10094193	US	3.47
12322	9500552	FR	16.8
12479	8715293	ES	22.83
9318	8712855	KR	19.82
45595	8494166	PK	23.41
1221	8372458	AU	39.31
16345	8326276	RU	8.11
1267	8288721	IT	21.33
30722	8260566	IT	21.26
16135	8152891	TR	16.97
18403	8149644	VN	16.12
56048	8022126	CN	1.08
3269	8001782	IT	20.59
7738	7996636	BR	5.68
15557	7919577	FR	14.01
6805	7865642	DE	10.84
5384	7854864	AE	88.53
24560	7826618	IN	1.65
17816	7752382	CN	1.05
10620	7683069	CO	27.12
209	7633357	US	2.62
47331	7483294	TR	15.57
39891	7464261	SA	33.89
24547	7309542	CN	0.99
5410	7293114	FR	12.9
10796	7171758	US	2.47
5617	7161920	PL	26.0
6147	7128577	PE	52.91
36992	7119659	EG	21.4
9121	7106355	TR	14.79
30873	7098822	YE	97.59
4788	7072641	MY	31.85
10507	7005364	US	2.41
13999	6948643	MX	11.67
8193	6766514	UZ	40.54
20001	6740161	US	2.32
26599	6686418	BR	4.75
15897	6685193	TR	13.91
4847	6651983	CN	0.9
4761	6592773	ID	12.01
17639	6419783	PH	13.69
6830	6408449	DE	8.83
56041	6218910	CN	0.84
25019	6094774	SA	27.67
18881	6093181	BR	4.33
577	6040648	CA	18.34
26615	6013013	BR	4.27
56047	5976111	CN	0.81
3462	5957345	TW	31.46
59257	5794143	PK	15.97
56044	5765925	CN	0.78
27699	5743800	BR	4.08
131445	5737894	TH	19.39
17621	5636954	CN	0.76
34984	5631587	TR	11.72
17858	5511298	KR	12.53
10139	5505325	PH	11.74
24203	5499916	ID	10.02
17552	5423594	TH	18.33
6128	5418293	US	1.86
29256	5414962	SY	99.99
7303	5411972	AR	17.37
9644	5330165	KR	12.12
36998	5314445	SD	47.59
33363	5303305	US	1.82
45727	5295930	ID	9.65
24835	5275805	EG	15.86
17622	5205480	CN	0.7
12430	5201396	ES	13.63
17072	5170093	MX	8.68
24389	5072297	BD	22.91
22085	5068196	BR	3.6
35819	4954532	SA	22.49
11427	4906989	US	1.69
30986	4688295	GH	55.08
36935	4670311	EG	14.04
11426	4667984	US	1.61
1136	4611894	NL	28.75
37457	4610048	ZA	15.3
24757	4603135	ET	99.99
28548	4574284	MX	7.68
812	4562404	CA	13.85
20978	4556590	TR	9.48
5713	4400822	ZA	14.61
9534	4381901	MY	19.73
8708	4374870	RO	38.67
5432	4340934	BE	42.46
3816	4297205	CO	15.17
